e,e_dot,e_int,stamp
-0.7853962692134985,1.7116597327064224e-06,-0.028423751210800374,1729888833.3877144
-0.7853962692161066,2.639817949028361e-11,-0.057874264054379176,1729888833.4377387
-0.7853962692218234,-5.4026705916387024e-11,-0.08458349049739197,1729888833.4897366
-0.7853962692272805,-7.853870958349189e-11,-0.10956440951515968,1729888833.5331593
-0.7853962692345565,-7.608532139873976e-11,-0.1395015067640719,1729888833.6040878
-0.7853962692400136,-7.880884636076701e-11,-0.16874463650905058,1729888833.6448598
-0.7853962692436517,-7.588213279621251e-11,-0.18957243843670124,1729888833.6836445
-0.7845268462127597,0.004896557556299926,-0.2151926150204802,1729888833.7428305
-0.7702492585892674,0.05205771051918811,-0.2562981169439893,1729888833.843744
-0.7611995158083733,0.12261880958872477,-0.2920467385690379,1729888833.8837209
-0.7253541806998349,0.19481962969836109,-0.3259158814580768,1729888833.9838235
-0.639965575374926,0.2987452224432421,-0.3811178880665127,1729888834.1424944
-0.5697574430053671,0.4105158422365805,-0.4304822489532726,1729888834.2437468
-0.5471814255772642,0.4192609072798879,-0.45624599746478534,1729888834.283748
-0.492895746574469,0.37040450076652665,-0.47912864471083116,1729888834.3830216
-0.4247472404694051,0.4086070579744492,-0.5073942642099101,1729888834.4833887
-0.31344995997267155,0.4576936992890612,-0.5346348792485203,1729888834.643739
-0.2860647377801374,0.4595910996641888,-0.5537389601248417,1729888834.6837358
-0.21393957552460663,0.47071316275913366,-0.5636617717332761,1729888834.7828832
-0.10896035958841521,0.46093229080337766,-0.5730809305032823,1729888834.943073
-0.06796133175060015,0.3541870607967515,-0.5789906318858947,1729888835.0437534
-0.05722424185255748,0.22491957779461844,-0.5816766087005641,1729888835.0838861
-0.041247940992115595,0.14335951180251474,-0.5835798564545581,1729888835.1821783
-0.04243109347750862,0.05172850664391476,-0.5872458167393203,1729888835.34308
-0.04279199670556055,-0.003655372186067535,-0.5909658096555042,1729888835.442974
-0.042798695871679504,-0.0012590566353473923,-0.5929725532383864,1729888835.483744
-0.04108646837189445,0.0057105022669943625,-0.5948867197432776,1729888835.5827405
-0.03793128305551274,0.015222689007539402,-0.5975444806280353,1729888835.6939473
-0.031778216512637236,0.023148439088797382,-0.6003093396419485,1729888835.843755
-0.02977277286261626,0.03040728117210921,-0.6021929406942639,1729888835.883745
-0.023293079840231434,0.038504218763928504,-0.6032731378764835,1729888835.9828775
-0.018258770691514936,0.03686223865392423,-0.6045540205301009,1729888836.0942
-0.018440763239938263,0.014453247009101283,-0.6058387614831623,1729888836.1918833
-0.016107690907055883,0.007752134976927342,-0.6068619341816236,1729888836.2847621
-0.011532317583011986,0.023613573388779733,-0.6076036546189302,1729888836.3848333
-0.008531761706300434,0.024532301308808513,-0.6081943703200662,1729888836.4924738
-0.006748146231881247,0.015273386723937707,-0.6086600755427288,1729888836.5918703
-0.0038672574248929115,0.0164273945703173,-0.6089067121512143,1729888836.6838005
-0.00034748162767972435,0.022242117055896304,-0.6089288804399744,1729888836.7832613
0.001921794545566624,0.0195307505999843,-0.6088025166633612,1729888836.8810596
0.0017755152322231904,0.007290340931089995,-0.608679668671525,1729888836.9908314
0.0023939963089771865,0.0017739507367721397,-0.6085179027762669,1729888837.083774
0.0050247384623692826,0.011076284170907814,-0.6081964233073479,1729888837.1827693
0.0077016463953700764,0.016907397381973225,-0.6076576917094856,1729888837.2936246
0.007178704800557045,0.006325987151840654,-0.6071503767330919,1729888837.3947775
0.008529955177867254,0.003338160624345797,-0.6066097395586639,1729888837.4837677
0.010822432507662239,0.012770752685945607,-0.6059311316987414,1729888837.5828893
0.009448284997557677,0.004867685625741925,-0.6051112932006653,1729888837.7440813
0.009887118247766447,0.00013004957677287209,-0.6044178245258883,1729888837.793305
0.009950566507865188,0.0032066370937287713,-0.603955984424705,1729888837.8833215
0.010369877351091517,0.0016258163404383782,-0.6032974692626346,1729888837.983813
0.012632598871770151,0.009333826235660762,-0.6024744610929105,1729888838.0787702
0.011887907322985836,0.006387987049150101,-0.6014655992944947,1729888838.2384067
0.010999064097218625,-0.008057616274895337,-0.6007132644248168,1729888838.2839699
0.012157007398982289,-0.0026455060980812278,-0.600123112611211,1729888838.3840392
